"product_name","Item_ID","ebay_url","Item_Condition","Vertical","Seller_Name","Account_Manager","MSRP","list_price","%_off","Sum_of_GMV","Sum_of_Qty","Sum_of_Views/SI","Sum_of_Seller_rating","Sum_of_Buyer_Count","Sum_of_Defect_Rate","ebay_status","ebay_msrp","ebay_list_price","recal_perc_off"
"OEM Original White Touch Digitizer LCD Screen Assembly for iPhone 6 Replacement","331464300495","http://ebay.com/itm/331464300495","New","Electronics","dazzlegames","Bryan Bellew","50","77.48999999999999","-0.55",9299,,"13",,"88","0.0311","Active",,79.95,
"4 NEW LT31X10.50-15 NANKANG N889 MUDSTAR MUD 1050R R15 TIRES LR C","361417357989","http://ebay.com/itm/361417357989","New","Parts & Accessories","discounttiredirect","Todd Elledge","","460","",9200,,"66",,"19","0.0131","Active",,540,
"Apple iPad 4th Generation 16GB Wi-Fi 9.7in - Black (with Engraving)","121449818560","http://ebay.com/itm/121449818560","Refurbished","Electronics","tekreplay","Jana Marcy","499","239.99","0.52",9120,,"111",,"31","0.0527","This item is out of stock.","","",""
"T-Shirt Heat Transfer Press Sublimation Machine","301676981805","http://ebay.com/itm/301676981805","New","Business & Industrial","assortedtools","Laura Kelleher","","116.59","",9094,,"35",,"77","0.0176","Active",459.99,116.59,
"LG 65UF8500 65"" Full 3D UHD IPS LED Internet TV","181723195385","http://ebay.com/itm/181723195385","New","Electronics","ielectrica","David Grim","2999.99","1779.52","0.41",8898,,"81",,"3","0.0495","Active",2999.99,1749.52,
"Apple iPhone 6 Plus Smartphone Factory Unlocked 64GB 4G 5.5"" Touch ID 8MP Camera","191699892016","http://ebay.com/itm/191699892016","Refurbished","Electronics","mobilepros1","Jason Chin","","469.99","",8640,,"257",,"17","0.0601","This item is out of stock.","","",""
"Ultra Xfinity Surge Protector - 6 Outlets 1.8ft Cord 201 Joules 15 amp White","351606353375","http://ebay.com/itm/351606353375","New","Electronics","tigerdirect","David Grim","","2.79","",8610,,"3",,"1601","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"Ultra 3.5"" to 2.5"" Dual SSD HDD Bay Adapter - SATA Cable Dual Solid State H","321951073080","http://ebay.com/itm/321951073080","New","Electronics","tigerdirect","David Grim","","2.79","",8272,,"3",,"1628","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"Apple iPad Pro 128GB Wi-Fi 12.9in - Silver (Latest Model)","141855541048","http://ebay.com/itm/141855541048","New","Electronics","quickshipelectronics","David Grim","","899.99","",8100,,"157",,"9","0.0279","Active",,849.99,
"Panasonic LUMIX FZ1000 4K QFHD HD 20.1MP 16X Long Zoom Black Digital Camera","301590999929","http://ebay.com/itm/301590999929","New","Electronics","targetstores","Mary Hubbard","","799.99","",8000,,"12",,"7","0.0303","This item is out of stock.","","",""
"Limited Edition White Wii U Deluxe Set 32GB - FACTORY BY NINTENDO","111831562940","http://ebay.com/itm/111831562940","Refurbished","Electronics","nintendo","Shannon Jensen","299.99","235","0.22",7990,,"165",,"33","0.0098","This listing was ended by the seller because the item is no longer available.","","",""
"Minn Kota 12-Feet Talon Anchor System with Black Cover","181824468701","http://ebay.com/itm/181824468701","New","Lifestyle","unitedoutdoors","Brendan Biggers","1999.99","1567.19","0.22",7836,,"49",,"5","0.0187","This item is out of stock.","","",""
"Samsung Galaxy Note 4 IV 32GB SM-N910V (VERIZON GSM 4G/LTE UNLOCKED) (A)","131534241550","http://ebay.com/itm/131534241550","New","Electronics","chubbiestech","Scott Lacharite","699.99","339.99","0.51",7820,,"78",,"22","0.047","This item is out of stock.","","",""
"Beats by Dr. Dre B0516 Headphones - Black","121857698977","http://ebay.com/itm/121857698977","New","Electronics","poppy9780","Aaron Schultz","","119.49","",7767,,"60",,"64","0.0407","Active",,119.49,
"Sony Alpha A6000 24.3 MP Digital Camera - Black (Latest Model)","272071877491","http://ebay.com/itm/272071877491","Refurbished","Electronics","secondipity","Debra Russell","","589.99","",7670,,"130",,"9","0.0684","This listing was ended by the seller because the item is no longer available.","","",""
"Samsung 850 EVO 250 GBInternal2.5"" (MZ-75E250B/AM) SSD","311245690197","http://ebay.com/itm/311245690197","New","Electronics","platinummicro","KellyJo McIntyre","149.99","83.98999999999999","0.44",7475,,"23",,"79","0.0196","Active",,83.9,
"RAYGO USB 3.0 to SATA Converter - USB 3.0 Interface Serial ATA -Windows Mac","351448039957","http://ebay.com/itm/351448039957","New","Electronics","tigerdirect","David Grim","","2.79","",7371,,"4",,"1893","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"Apple iPad 2 16GB Wi-Fi 9.7in - White (MC979LL/A)","111520352172","http://ebay.com/itm/111520352172","Refurbished","Electronics","tekreplay","Jana Marcy","499","169.99","0.66",7310,,"56",,"31","0.0527","This item is out of stock.","","",""
"Microsoft Xbox One (Latest Model)- with Kinect 500 GB Black Console","252207751275","http://ebay.com/itm/252207751275","Refurbished","Electronics","deal_frenzy","Deb Nahvi","539.95","274.95","0.49",7279,,"714",,"24","0.0468","Active",539.96,269.95,
"Swagway X1 Self balancing 2 wheels Smart hover-board electric scooter skateboard","231807586335","http://ebay.com/itm/231807586335","New","Lifestyle","claimthis","Jana Marcy","","399.99","",7000,,"179",,"10","0.0449","Active",,399.99,
"iRobot Roomba 650 - Black - Robotic Cleaner","221924079275","http://ebay.com/itm/221924079275","New","Home & Garden","consumerelectronicscostsavers","Stacey Bartholoma","","349.97","",6999,,"20",,"9","0.0155","Active",,349.97,
"Chevrolet Performance 12622236 CTS-V LSA to ZL1 Supercharger Cover and Intercool","311347929212","http://ebay.com/itm/311347929212","New","Parts & Accessories","jegsperformance","Dustin Waterfall","","386.99","",6966,,"23",,"11","0.0227","Active",,386.99,
"Intel Core i7-5930K Haswell-E 6-Core 3.5GHz LGA 2011-V3 140W Desktop Processor","351623494186","http://ebay.com/itm/351623494186","New","Electronics","tigerdirect","David Grim","","463.99","",6960,,"68",,"8","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"Apple iPhone 5c - 32GB - GSM Factory Unlocked White Blue Green Pink Yellow","191735078589","http://ebay.com/itm/191735078589","Refurbished","Electronics","mobilepros1","Jason Chin","","149.77","",6870,,"64",,"37","0.0601","This item is out of stock.","","",""
"Panasonic LUMIX DMC-GH4 16.0 MP Digital SLR Camera - Black (Kit w/ G VARIO 14-140mm Lens)","331675629579","http://ebay.com/itm/331675629579","New","Electronics","redtagcamera","Greg George","1497.99","974.95","0.35",6825,,"168",,"7","0.0216","Active",,1099.95,
"Apple MacBook Air 11-inch MJVM2LL/A","172003974029","http://ebay.com/itm/172003974029","New","Electronics","electronicsvalley","Debra Russell","999","843.45","0.16",6748,,"600",,"7","0.0183","This listing was ended by the seller because the item is no longer available.","","",""
"Three 3 Compartment Stainless Steel Commercial Kitchen Sink","371326235966","http://ebay.com/itm/371326235966","New","Business & Industrial","assortedtools","Laura Kelleher","1059.99","268.69","0.75",6717,,"31",,"24","0.0176","Active",1059.99,268.69,
"Foscam FI9821P Plug & Play 1.0 Megapixel 1280 x 720 Wireless Wired Pan tilt IP C","351606354795","http://ebay.com/itm/351606354795","New","Electronics","tigerdirect","David Grim","","49.99","",6699,,"23",,"105","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"Philips Friends of hue 120-Lumen 8W Bloom Luminaire Starter Kit 15W Equivalent","201483386662","http://ebay.com/itm/201483386662","New","Home & Garden","best_buy","Debra Russell","","179.99","",6499,,"56",,"48","0.0735","Active",,179.99,
"Samsung JU6400 Series UN65JU6400 65-inch 4K Ultra HD Smart LED TV - 3840 x 2160","321917890324","http://ebay.com/itm/321917890324","New","Electronics","tigerdirect","David Grim","2699.99","1597.99","0.41",6490,,"178",,"5","0.0867","This listing has ended.  The seller has relisted this item or one like this. ","","",""
"Barnett 78222 Ghost 410 CRT Mossy Oak Camo Crossbow Package W Scope","361270900377","http://ebay.com/itm/361270900377","New","Lifestyle","sportsmansoutfitters","Jana Marcy","1099.99","799.99","0.27",6400,,"156",,"6","0.0157","Active",1099.99,799.99,
"DJI Phantom 3 Advanced FPV Drone w 1080p HD Camera & 3-Axis Gimbal - IN STOCK","201384429607","http://ebay.com/itm/201384429607","New","Collectibles","rcsuperstore","Garrison Ramoso","1259","1059","0.16",6354,,"54",,"6","0.0068","Active",,1059,
"Traxxas 3350R Velineon VXL-3s Waterproof Brushless Motor and ESC Power System","311224426633","http://ebay.com/itm/311224426633","New","Collectibles","rcsuperstore","Garrison Ramoso","170","129.95","0.24",6324,,"43",,"52","0.0068","Active",,132.99,
"New HTC One M7 32GB (Factory Unlocked) 4G LTE with beats audio Mobile Phone ","381023857242","http://ebay.com/itm/381023857242","New","Electronics","qualitycellz","Jason Chin","699.99","149.99","0.79",6300,,"108",,"35","0.0502","This item is out of stock.","","",""
"Logitech Z313 Speaker System","321951072940","http://ebay.com/itm/321951072940","New","Electronics","tigerdirect","David Grim","","14.99","",6161,,"22",,"355","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"DJI Phantom 2 Vision PLUS V3 RC Quad Copter RTF With GPS FPV 1080p HD Camera Drone","191550471870","http://ebay.com/itm/191550471870","New","Collectibles","rcsuperstore","Garrison Ramoso","1059","759","0.28",6072,,"423",,"8","0.0068","Active",,759,
"Apple iMac 27"" Desktop - MC511LL/A (July 2010)","401053053845","http://ebay.com/itm/401053053845","Refurbished","Electronics","nationwidesurplus","Aaron Schultz","","999.99","",6000,,"101",,"6","0.0356","This item is out of stock.","","",""
"Garmin Vivosmart Activity Tracker Fitness Band w/Smart Notification -Multi Color","221793503339","http://ebay.com/itm/221793503339","New","Lifestyle","northwest-outdoor","Deb Nahvi","149.99","59.95","0.6",5875,,"41",,"93","0.0313","Active",149.99,59.95,
"WATERPROOF SHOCKPROOF DIRT PROOF CASE COVER FOR APPLE IPHONE 6 & 6 PLUS","371345961432","http://ebay.com/itm/371345961432","New","Electronics","batterygallery","Bryan Bellew","","9.949999999999999","",5871,,"26",,"531","0.0208","Active",,9.95,
"Dell Inspiron 13 7000 13-7359 Tablet PC - 13.3"" - TrueLife In-plane Switching","321937614529","http://ebay.com/itm/321937614529","New","Electronics","tigerdirect","David Grim","","449.99","",5850,,"54",,"5","0.0867","This listing has ended. ","","",""
"Asus 2 in 1 15.6"" Touchscreen Intel Core i7-5500U 8GB 1TB DVD-RW Windows 10","272057712001","http://ebay.com/itm/272057712001","New","Electronics","digjungle","Scott Lacharite","799","649.99","0.19",5850,,"118",,"9","0.0487","This item is out of stock.","","",""
"Apple iPhone 5s - 32GB (Factory Unlocked) Smartphone Space Gray - Silver - Gold","141732861625","http://ebay.com/itm/141732861625","Refurbished","Electronics","guaranteecellular","Deb Nahvi","799.99","233.99","0.71",5850,,"190",,"25","0.0473","Active",,233.99,
"Sony Alpha A6000 Wi-Fi Digital Camera & 16-50mm Lens Silver w 55-210mm Lens Kit","141808228619","http://ebay.com/itm/141808228619","New","Electronics","getitdigital","Debra Russell","859.99","527.99","0.39",5720,,"113",,"9","0.0268","This item is out of stock.","","",""
"Samsung Galaxy Tab A SM-T550 32GB Wi-Fi 9.7in - Titanium","141707203304","http://ebay.com/itm/141707203304","New","Electronics","quickshipelectronics","David Grim","329.99","219.99","0.33",5720,,"262",,"23","0.0279","Active",329.99,209.99,
"Panasonic Lumix DMC-LX100","281659519883","http://ebay.com/itm/281659519883","New","Electronics","targetstores","Mary Hubbard","","799.99","",5600,,"14",,"7","0.0303","This item is out of stock.","","",""
"Acer Aspire R 11 R3-131T-P7HA touchscreen 4GB 500GB BT 4.0 Intel Pentium N3700","272085687199","http://ebay.com/itm/272085687199","New","Electronics","digjungle","Scott Lacharite","","279.99","",5600,,"247",,"20","0.0487","This item is out of stock.","","",""
"HP Z230 Mini-tower Workstation - 1 x Intel Core i7 i7-4790 3.60 GHz F1M02UT#ABA","231772075627","http://ebay.com/itm/231772075627","New","Electronics","tigerdirect","David Grim","","559.99","",5600,,"62",,"2","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"HP - Pavilion 17.3"" Laptop Intel Core i5 4GB RAM 1TB HDD Win 10 17-g119dx","191747512318","http://ebay.com/itm/191747512318","New","Electronics","best_buy","Debra Russell","499.99","429.99","0.14",5600,,"39",,"8","0.0735","Active",479.99,399.99,
"Turtle Beach - Ear Force Stealth 500X Premium Fully Wireless with Surround So...","191758098016","http://ebay.com/itm/191758098016","New","Electronics","best_buy","Debra Russell","","149.99","",5550,,"36",,"26","0.0735","Active",229.99,149.99,
"Samsung UN65J6300 - 65-Inch Full HD 1080p 120hz Slim Smart LED HDTV Hookup Kit","351448042275","http://ebay.com/itm/351448042275","New","Electronics","tigerdirect","David Grim","","1497.99","",5500,,"178",,"5","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"AT&T GoPhone - ZTE Zmax 2 4G with 16GB Memory No-Contract Cell Phone - Black","201444586485","http://ebay.com/itm/201444586485","New","Electronics","best_buy","Debra Russell","149.99","79.98999999999999","0.47",5499,,"30",,"44","0.0735","This listing was ended by the seller because the item is no longer available.","","",""
"Samsung Galaxy S5 SM-G900A 16GB for AT&T Black Blue White or Gold","231601190056","http://ebay.com/itm/231601190056","Refurbished","Electronics","certifiedusedphoneoutlet","Scott Lacharite","599.99","199.99","0.67",5400,,"6",,"2","0.0541","Active",519.99,189.99,
"Troy DPH11 Professional 11' Drywall Panel Hoist Jack Lift Lifter Tool","400746677457","http://ebay.com/itm/400746677457","New","Business & Industrial","factory_authorized_outlet","Anne Weisman","449.99","139.99","0.6899999999999999",5320,,"14",,"38","0.0275","Active",449.99,139.99,
"Apple iPhone 6 Plus Smartphone Factory Unlocked 16GB 4G 5.5"" Touch ID 8MP Camera","221797936025","http://ebay.com/itm/221797936025","Refurbished","Electronics","mobilepros1","Jason Chin","1229.99","438.77","0.64",5265,,"262",,"12","0.0601","This item is out of stock.","","",""
"Bluetooth Wireless Headset Stereo Headphone Earphone Sport Universal Handfree","400928224262","http://ebay.com/itm/400928224262","New","Electronics","bateryconnection","Bryan Bellew","","9.99","",5215,,"36",,"496","0.0216","Active",,9.99,
"Samsung i545 Galaxy S4 16GB Verizon 13MP Camera WiFi Cell Phone","131522681602","http://ebay.com/itm/131522681602","Refurbished","Electronics","guaranteecellular","Deb Nahvi","799.99","106.99","0.87",5055,,"101",,"6","0.0473","Active",,106.99,
"LG HBS-900 Silver Neckband Headsets","121681708438","http://ebay.com/itm/121681708438","New","Electronics","poppy9780","Aaron Schultz","119.99","39.99","0.67",5039,,"34",,"117","0.0407","Active",,39.99,
"GoPro HERO4 Black Camcorder - Black","171697515583","http://ebay.com/itm/171697515583","New","Electronics","photovideo4less","Deb Nahvi","899.95","499.95","0.44",5000,,"225",,"10","0.018","Active",899.95,499.95,
"OEM Original Genuine Apple Iphone 5 5s 5c 6 6s EarPods Earphones W Remote & Mic","141516068163","http://ebay.com/itm/141516068163","New","Electronics","guaranteecellular","Deb Nahvi","29","9.99","0.66",4965,,"16",,"343","0.0473","Active",29,10.49,
"Samsung UN55JU6400 55-inch 4K Ultra HD Smart LED TV - 3840 x 2160 - 120 Clear","231748927090","http://ebay.com/itm/231748927090","New","Electronics","tigerdirect","David Grim","1599.99","748.49","0.53",4800,,"288",,"6","0.0867","This listing was ended by the seller because the item is no longer available.","","",""
"GoPro HERO4 Black Camcorder - Black","311483046814","http://ebay.com/itm/311483046814","New","Electronics","buydig","Debra Russell","","479","",4790,,"10",,"3","0.0429","Active",,479,
"Seek LT-AAA Thermal XR Extended Range Imaging Camera For iPhone 5 6 iPod IOS 7","371468226445","http://ebay.com/itm/371468226445","New","Lifestyle","greatbrands","Andy Gallup","349.99","233.89","0.33",4680,,"22",,"4","0.0195","Active",349.99,233.89,
"Beats by Dr. Dre B0516 Headphones - Black","311486871095","http://ebay.com/itm/311486871095","Refurbished","Electronics","a4c","Debra Russell","199.95","94.95","0.53",4653,,"229",,"47","0.0294","This item is out of stock.","","",""
"Beats by Dr. Dre Solo2 Wireless Headband Headphones - Gold","141875700603","http://ebay.com/itm/141875700603","New","Electronics","poppy9780","Aaron Schultz","","209.99","",4200,,"85",,"20","0.0407","Active",,229.99,
"DJI Phantom 3 Advanced FPV Drone w 1080p HD Camera & 3-Axis Gimbal - IN STOCK","291463994085","http://ebay.com/itm/291463994085","New","Electronics","thepixelhub","Jana Marcy","999.99","799","0.2",3995,,"186",,"5","0.0336","Active",,799,
"4 255 70-16 COOPER DISCOVERER AT3 70R R16 TIRES CERTIFICATES 27014","310919936866","http://ebay.com/itm/310919936866","New","Parts & Accessories","discounttiredirect","Todd Elledge","","704","",3520,,"110",,"5","0.0131","Active",,704,
"bridgestone dueler a t p 265 70 r 17 113 s rh s 2657017 265 70 17 265 70 17","310919932747","http://ebay.com/itm/310919932747","New","Parts & Accessories","discounttiredirect","Todd Elledge","","564","",3384,,"146",,"6","0.0131","Active",,564,
"Egyptian Comfort 1800 Count 4 Piece Deep Pocket Bed Sheet Set","111500691411","http://ebay.com/itm/111500691411","New","Home & Garden","cozyarray","Mary Hubbard","99.98999999999999","13.99","0.86",3064,,"51",,"95","0.0187","Active",,28.95,
"iRobot Roomba 650 - Black - Robotic Cleaner","371347736471","http://ebay.com/itm/371347736471","Refurbished","Home & Garden","ottercreektrading","Jana Marcy","399.99","299.99","0.25",3000,,"146",,"10","0.0245","Active",,299.99,
"4 255 70-16 COOPER DISCOVERER AT3 70R R16 TIRES CERTIFICATES 27014","191106221435","http://ebay.com/itm/191106221435","New","Parts & Accessories","discounttiredirect","Todd Elledge","","548","",2740,,"127",,"5","0.0131","Active",,548,
"Panasonic LUMIX DMC-FZ200 12.1 MP Digital Camera - Black","141055442435","http://ebay.com/itm/141055442435","New","Electronics","cametaauctions","Deb Nahvi","","299.99","",2700,,"14",,"9","0.0243","Active",519.99,299.99,
"4 255 70-16 COOPER DISCOVERER AT3 70R R16 TIRES CERTIFICATES 27014","191106125160","http://ebay.com/itm/191106125160","New","Parts & Accessories","discounttiredirect","Todd Elledge","","536","",2680,,"146",,"5","0.0131","Active",,536,
"DJI Phantom 3 Standard RC Drone QuadCopter W 2.7K HD Camera & 3-Axis Gimbal GPS","291541293433","http://ebay.com/itm/291541293433","New","Electronics","thepixelhub","Jana Marcy","","499.95","",2500,,"266",,"5","0.0336","Active",,499.95,
"Primos Alpha Dogg Electronic Predator Game 3756 Caller Coyote Deer Elk","381351484518","http://ebay.com/itm/381351484518","New","Lifestyle","rogers_sporting_goods","Keith VanNess","329.99","214.99","0.35",2470,,"42",,"13","0.0162","Active",,214.99,
"Nikon Nikkor 35mm F/1.8 G SWM AS RF DX AF-S M/A Lens","390865690276","http://ebay.com/itm/390865690276","New","Electronics","always.deals","Jason Chin","249.99","164.99","0.34",2310,,"31",,"14","0.0474","Active",,164.28,
"Apple TV 3rd Generation A1427 Digital HD Media Streamer","331709943507","http://ebay.com/itm/331709943507","New","Electronics","gravitybuys","Greg George","79.98999999999999","54.99","0.31",2310,,"106",,"35","0.0457","Active",,58.99,
"Nikon Nikkor 35mm F/1.8 G SWM AS RF DX AF-S M/A Lens","181442940824","http://ebay.com/itm/181442940824","New","Electronics","photovideo4less","Deb Nahvi","299.95","164.95","0.45",2144,,"79",,"13","0.018","Active",299.95,169.95,
"Motorola SURFboard SB6141 (581902-022-00) 351.23 Mbps Cable Modem","291293275546","http://ebay.com/itm/291293275546","New","Electronics","newegg","Jay Wong","99.98999999999999","54.99","0.45",2100,,"337",,"30","0.0418","Active",99.99,69.99,
